AreaID;AreaCode;SiteName;Country;State/Province;Latitude;Longitude;Lat10;Long10;Altitude;Alt SRTM;Domain;DomN;EcoUnit;FitGeoN;Asp Ocean;Thermic realm;Elevation range;Zonal Azonal;Climatic regime;Leaf flush;Vegetation physiognomy;Vegetation type;CdVg;Main vegetation type;TempCorrection;PrecipCorrection;TempAnn;TempDayRng;Isotherm;TempSeas;TempMax;TempMin;TempAnnRng;PrecAnn;PrecWetP;PrecDryP;PrecSeas;WaterDefDur;WaterDefSev;WaterExcDur;WaterExcSev;HyperSeas;DaysFrost;CloudItcp;Grassy Cover;Surface Rockiness;Ranked Rockiness;Soil Texture Class;Ranked Sand;Soil Drainage Class;Ranked Drainage;Soil Water Storage;Soil Fertility Class;Ranked TBS;Salinity Class;Ranked Salinity
8661;NeaMX011;San Bernardo, Rio Mayo, bosque estacional ribereño;Mexico;Sonora;27°26’35”N;108°52’11”W;27.4431;-108.8697;199;272;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;Riverine;Seasonally dry;Semideciduous;Broadleaved Forest;Subtropical Lower hills Riverine Seasonally dry Semideciduous Broadleaved Forest;143;Seasonal riverine forest;0;1;24.4;19;59;504;40.5;8.1;32.4;710;202;5;115;215;183;80;680;122;3;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Imperfectly;65;70;Mesotrophic (25-50% TBS);37;No salinity;0
8651;NeaMX012;Presa Huites, Arroyo El Aguajito, bosque estacional ribereño;Mexico;Chihuahua/Sinaloa;27°03’18”N;108°22’31”W;27.055;-108.3753;338;325;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;Riverine;Seasonally dry;Semideciduous;Broadleaved Forest;Subtropical Lower hills Riverine Seasonally dry Semideciduous Broadleaved Forest;143;Seasonal riverine forest;0;1;23.6;17.7;55;511;39.9;7.5;32.4;859;229;8;105;170;137;95;592;85;3;0;0;Intermediate (10-30% exposed rock);20;Sandy clay (50-60% sand);55;Imperfectly;65;64;Mesotrophic (25-50% TBS);37;No salinity;0
8652;NeaMX013;Tamazula, Arroyo La Junta, bosque estacional ribereño;Mexico;Durango;25°15’53”N;107°05’38”W;25.2647;-107.0939;346;558;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;Riverine;Seasonally dry;Semideciduous;Broadleaved Forest;Subtropical Lower hills Riverine Seasonally dry Semideciduous Broadleaved Forest;143;Seasonal riverine forest;1.1;1;24.7;16.4;61;385;37.4;10.3;27.1;1054;278;8;108;155;146;110;551;66;0;0;0;Absent to Low (0-10% exposed rock);5;Sandy clay (50-60% sand);55;Imperfectly;65;68;Mesotrophic (25-50% TBS);37;No salinity;0
8662;NeaMX014;Sinoquipe, Rio Sonora, bosque estacional ribereño;Mexico;Sonora;30°10’59”N;110°13’56”W;30.1831;-110.2322;747;814;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Upper hills;Riverine;Seasonally dry;Semideciduous;Broadleaved Forest;Subtropical Upper hills Riverine Seasonally dry Semideciduous Broadleaved Forest;146;Seasonal riverine forest;0;1;20.4;17.5;52;629;37.4;3.5;33.9;513;153;5;108;225;165;50;762;181;80;0;0;Intermediate (10-30% exposed rock);20;Loam (40-50% sand);45;Imperfectly;65;66;Mesotrophic (25-50% TBS);37;No salinity;0
8653;NeaMX015;El Dos de Abril, bosque deciduo submontano;Mexico;Durango;24°40’46”N;106°36’29”W;24.6794;-106.6081;357;411;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;(Zonal);Seasonally dry;Deciduous;Broadleaved Forest;Subtropical Lower hills Seasonally dry Deciduous Broadleaved Forest;202;Deciduous forest;0;1;24.5;15.4;59;363;36.7;10.8;25.9;1001;269;5;114;180;180;110;593;77;0;0;0;Intermediate (10-30% exposed rock);20;Loam (40-50% sand);45;Somewhat Excessively;20;44;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8654;NeaMX016;Tayoltita, bosque deciduo de serranias;Mexico;Durango;24°05’43”N;105°54’59”W;24.0953;-105.9164;847;902;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Upper hills;(Zonal);Seasonally dry;Deciduous;Broadleaved Forest;Subtropical Upper hills Seasonally dry Deciduous Broadleaved Forest;205;Deciduous forest;0;1;22.1;13.3;58;326;33.2;10.1;23.1;886;223;7;98;150;146;105;555;79;0;0;0;Intermediate (10-30% exposed rock);20;Clay loam (30-40% sand);35;Somewhat Excessively;20;46;Mesotrophic (25-50% TBS);37;No salinity;0
8704;NeaMX017;Cañon de San Dionisio, Agua Caliente, bosque semi-arido de llanuras;Mexico;Baja California Sur;23°26’30”N;109°47’36”W;23.4417;-109.7933;191;364;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Tropical;Lowland;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Tropical Lowland Semi-arid Deciduous Stiff-leaved Forest;378;Semi-arid thorny woodland;0.9;1;23.3;14.2;57;440;34.7;9.7;25;417;146;1;138;270;286;50;840;270;0;0;0;Intermediate (10-30% exposed rock);20;Sandy clay (50-60% sand);55;Excessively;5;34;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8663;NeaMX018;San Jose de Batuc, bosque semi-arido submontano;Mexico;Sonora;29°13’37”N;109°44’34”W;29.2269;-109.7428;440;355;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Lower hills Semi-arid Deciduous Stiff-leaved Forest;379;Semi-arid thorny woodland;0;1;24.1;18.4;52;649;41.5;5.8;35.7;525;169;4;115;245;226;50;768;189;7;0;0;High (30-60% exposed rock);45;Sandy clay (50-60% sand);55;Excessively;5;28;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8664;NeaMX019;Tonichi, bosque semi-arido submontano;Mexico;Sonora;28°35’55”N;109°35’01”W;28.5986;-109.5836;221;244;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Lower hills Semi-arid Deciduous Stiff-leaved Forest;379;Semi-arid thorny woodland;0;1;24.8;18.7;56;560;40.9;7.5;33.4;609;171;6;109;225;205;65;715;151;3;0;0;High (30-60% exposed rock);45;Sandy clay (50-60% sand);55;Excessively;5;28;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8612;NeaMX020;Chinipas de Almada, bosque semi-arido submontano;Mexico;Chihuahua;27°23’28”N;108°31’20”W;27.3911;-108.5222;487;491;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Lower hills Semi-arid Deciduous Stiff-leaved Forest;379;Semi-arid thorny woodland;0;1;23.6;17.7;55;511;39.9;7.5;32.4;859;229;8;105;170;137;95;592;85;3;0;0;High (30-60% exposed rock);45;Sandy clay (50-60% sand);55;Excessively;5;28;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8665;NeaMX021;alamos, bosque semi-arido submontano;Mexico;Sonora;27°03’18”N;108°57’37”W;27.055;-108.9603;474;457;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Lower hills Semi-arid Deciduous Stiff-leaved Forest;379;Semi-arid thorny woodland;0;1;23.2;17.3;58;452;38.1;8.2;29.9;685;191;3;117;220;187;75;694;129;2;0;0;Intermediate (10-30% exposed rock);20;Sandy clay (50-60% sand);55;Excessively;5;34;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8666;NeaMX022;Choix, bosque semi-arido submontano;Mexico;Sinaloa;26°39’09”N;108°22’19”W;26.6525;-108.3719;496;480;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Lower hills Semi-arid Deciduous Stiff-leaved Forest;379;Semi-arid thorny woodland;0;1;23.8;18.1;59;469;38.4;7.9;30.5;809;218;6;112;195;157;90;638;98;3;0;0;High (30-60% exposed rock);45;Sandy clay (50-60% sand);55;Excessively;5;28;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8667;NeaMX023;Guamuchil, Cerro del Mochomo, bosque semi-arido submontano;Mexico;Sinaloa;25°24’26”N;107°58’57”W;25.4072;-107.9825;326;294;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Lower hills Semi-arid Deciduous Stiff-leaved Forest;379;Semi-arid thorny woodland;0;1;23.8;16.1;61;419;35.8;9.2;26.6;758;232;3;126;240;218;95;711;123;1;0;0;High (30-60% exposed rock);45;Sandy clay (50-60% sand);55;Excessively;5;28;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8668;NeaMX024;Culiacan, Cerro El Salto, bosque semi-arido submontano;Mexico;Sinaloa;24°45’04”N;107°18’10”W;24.7511;-107.3028;427;215;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Lower hills Semi-arid Deciduous Stiff-leaved Forest;379;Semi-arid thorny woodland;-1.1;1.1;23.8;15.6;61;388;35.1;9.7;25.4;800;230;4;119;225;196;95;675;109;0;0;0;Intermediate (10-30% exposed rock);20;Sandy clay (50-60% sand);55;Excessively;5;34;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8705;NeaMX025;Valle Perdido, bosque semi-arido submontano;Mexico;Baja California Sur;23°41’57”N;110°06’56”W;23.6992;-110.1156;427;528;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Tropical;Lower hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Tropical Lower hills Semi-arid Deciduous Stiff-leaved Forest;379;Semi-arid thorny woodland;0.5;1;21.5;14.2;59;406;32.8;8.9;23.9;410;130;0;137;270;257;50;846;269;1;0;0;High (30-60% exposed rock);45;Sandy clay (50-60% sand);55;Excessively;5;28;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8669;NeaMX026;Moctezuma, bosque semi-arido de serranias;Mexico;Sonora;29°46’38”N;109°38’58”W;29.7772;-109.6494;665;667;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Upper hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Upper hills Semi-arid Deciduous Stiff-leaved Forest;386;Semi-arid thorny woodland;0;1;21.7;18.9;51;678;39.7;3;36.7;501;144;5;104;230;176;50;759;187;85;0;0;High (30-60% exposed rock);45;Sandy clay (50-60% sand);55;Excessively;5;28;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8670;NeaMX027;Llano de Curupaco, bosque semi-arido de serranias;Mexico;Sonora;27°55’08”N;109°01’56”W;27.9189;-109.0322;772;1015;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Upper hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Upper hills Semi-arid Deciduous Stiff-leaved Forest;386;Semi-arid thorny woodland;1.2;1;21.7;16.7;55;487;36.6;6.4;30.2;830;216;7;106;175;109;90;615;87;7;0;0;Intermediate (10-30% exposed rock);20;Sandy clay (50-60% sand);55;Excessively;5;34;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8613;NeaMX028;Cañon de La Sinforosa, Guerachi, bosque semi-arido de serranias;Mexico;Chihuahua;26°40’02”N;107°18’41”W;26.6672;-107.3114;700;1229;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Upper hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Upper hills Semi-arid Deciduous Stiff-leaved Forest;386;Semi-arid thorny woodland;2.6;1;23.2;17.4;58;433;37.7;7.9;29.8;792;205;8;101;170;147;90;604;95;3;0;0;High (30-60% exposed rock);45;Sandy clay (50-60% sand);55;Excessively;5;28;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8671;NeaMX029;San Jose del Llano, bosque semi-arido de serranias;Mexico;Sinaloa;25°48’09”N;107°21’09”W;25.8025;-107.3525;622;674;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Upper hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Subtropical Upper hills Semi-arid Deciduous Stiff-leaved Forest;386;Semi-arid thorny woodland;0;1;23.1;16.6;59;409;36.6;8.3;28.3;960;250;12;104;165;126;105;561;72;2;0;0;High (30-60% exposed rock);45;Sandy clay (50-60% sand);55;Excessively;5;28;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8706;NeaMX030;Los Cabos, Sendero Los Naranjos, bosque semi-arido de serranias;Mexico;Baja California Sur;23°14’52”N;109°57’44”W;23.2478;-109.9622;709;715;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Tropical;Upper hills;(Zonal);Semi-arid;Deciduous;Stiff-leaved Forest;Tropical Upper hills Semi-arid Deciduous Stiff-leaved Forest;386;Semi-arid thorny woodland;0;1;16.1;13.1;60;372;26.2;4.2;22;600;154;0;113;165;141;80;708;142;86;56;0;High (30-60% exposed rock);45;Sandy clay (50-60% sand);55;Excessively;5;28;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8707;NeaMX031;Tijuana, Cañon del Matadero, matorral arido de llanuras;Mexico/United States;Baja California/California;32°32’01”N;117°05’07”W;32.5336;-117.0853;33;91;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lowland;(Zonal);Arid;Deciduous;Open stiff-leaved scrub;Subtropical Lowland Arid Deciduous Open stiff-leaved scrub;528;Semi-desert and desert;0;1;16.7;10.1;54;312;25.8;7;18.8;234;46;1;91;230;222;0;966;508;5;0;0;High (30-60% exposed rock);45;Sandy loam (70-80% sand);75;Excessively;5;23;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8708;NeaMX032;Cañon El Salado, matorral arido de llanuras;Mexico;Baja California;31°09’41”N;116°14’42”W;31.1614;-116.245;55;163;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lowland;(Zonal);Arid;Deciduous;Open stiff-leaved scrub;Subtropical Lowland Arid Deciduous Open stiff-leaved scrub;528;Semi-desert and desert;0.5;1;16.9;15.7;61;375;29.8;4.2;25.6;263;54;0;99;230;235;0;937;446;83;0;0;High (30-60% exposed rock);45;Sandy loam (70-80% sand);75;Excessively;5;23;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8672;NeaMX033;Ciudad Obregon, Las Pitahayas, matorral arido de llanuras;Mexico;Sonora;27°43’58”N;110°21’25”W;27.7328;-110.3569;97;53;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lowland;(Zonal);Arid;Deciduous;Open stiff-leaved scrub;Subtropical Lowland Arid Deciduous Open stiff-leaved scrub;528;Semi-desert and desert;0;1;25.2;13.9;52;542;37.3;10.6;26.7;288;89;0;117;310;343;0;912;436;0;0;0;Intermediate (10-30% exposed rock);20;Loamy sand (80-90% sand);85;Excessively;5;26;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8709;NeaMX034;Bahia de Concepcion, matorral arido de llanuras;Mexico;Baja California Sur;26°45’17”N;111°54’23”W;26.7547;-111.9064;8;88;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lowland;(Zonal);Arid;Deciduous;Open stiff-leaved scrub;Subtropical Lowland Arid Deciduous Open stiff-leaved scrub;528;Semi-desert and desert;0;1;22.9;14.5;52;528;36.5;8.8;27.7;107;25;0;98;360;442;0;1093;1435;1;0;0;Very high (60-100% exposed rock);80;Loamy sand (80-90% sand);85;Excessively;5;11;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8673;NeaMX035;Topolobampo, Carricito, matorral arido de llanuras;Mexico;Sinaloa;25°32’15”N;108°57’20”W;25.5375;-108.9556;75;90;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lowland;(Zonal);Arid;Deciduous;Open stiff-leaved scrub;Subtropical Lowland Arid Deciduous Open stiff-leaved scrub;528;Semi-desert and desert;0;1;24.4;16.2;61;460;36.3;9.6;26.7;315;88;0;117;290;315;0;885;381;0;0;0;Very high (60-100% exposed rock);80;Sandy loam (70-80% sand);75;Excessively;5;14;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8710;NeaMX036;Ciudad Insurgentes, matorral arido de llanuras;Mexico;Baja California Sur;25°24’43”N;111°47’44”W;25.4119;-111.7956;28;28;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lowland;(Zonal);Arid;Deciduous;Open stiff-leaved scrub;Subtropical Lowland Arid Deciduous Open stiff-leaved scrub;528;Semi-desert and desert;0;1;22.3;15.1;59;423;35.4;9.8;25.6;111;26;0;94;360;426;0;1089;1365;0;0;0;High (30-60% exposed rock);45;Loamy sand (80-90% sand);85;Excessively;5;20;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8711;NeaMX037;Cabo San Lucas, matorral arido de llanuras;Mexico;Baja California Sur;22°53’47”N;109°57’31”W;22.8964;-109.9586;76;74;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Tropical;Lowland;(Zonal);Arid;Deciduous;Open stiff-leaved scrub;Tropical Lowland Arid Deciduous Open stiff-leaved scrub;528;Semi-desert and desert;0;1;23.6;11.5;56;353;33.1;12.7;20.4;200;59;0;119;350;369;0;1000;685;0;0;0;Very high (60-100% exposed rock);80;Sandy loam (70-80% sand);75;Excessively;5;14;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8712;NeaMX038;Ensenada, Cañon de Doña Petra, matorral arido submontano;Mexico;Baja California;31°55’08”N;116°36’18”W;31.9189;-116.605;130;391;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;(Zonal);Arid;Deciduous;Open stiff-leaved scrub;Subtropical Lower hills Arid Deciduous Open stiff-leaved scrub;529;Semi-desert and desert;1.3;1;17.2;13.5;56;389;29.8;5.9;23.9;327;62;1;91;210;215;0;873;333;9;0;0;High (30-60% exposed rock);45;Sandy loam (70-80% sand);75;Excessively;5;23;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
8674;NeaMX039;Gran Desierto de Altar, El Pinacate, matorral arido submontano;Mexico;Sonora;31°49’29”N;113°25’56”W;31.8247;-113.4322;290;326;Nearctic Mexico;1;Californian-Sonoran Mexico;1;Leeward;Subtropical;Lower hills;(Zonal);Arid;Deciduous;Open stiff-leaved scrub;Subtropical Lower hills Arid Deciduous Open stiff-leaved scrub;529;Semi-desert and desert;0;1;21.1;14.8;48;642;36.9;5.8;31.1;136;27;0;68;360;371;0;1064;1055;7;0;0;Very high (60-100% exposed rock);80;Loamy sand (80-90% sand);85;Excessively;5;11;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
